anonymous_id,specimen_id,annotator,true_family,true_genus,true_species,pred_family,pred_genus,pred_species,family_correct,genus_correct,species_correct,family_corrected,genus_corrected,species_corrected,correction_category
individual_016,PPCALLLA6,roni,Bignoniaceae,Callichlamys,latifolia,Bignoniaceae,Callichlamys,latifolia,1,1,1,1,1,1,
individual_017,BVMANSKE10,roni,Bignoniaceae,Pachyptera,kerere,Bignoniaceae,Mansoa,kerere,1,0,1,1,1,1,synonym
individual_018,ANPLEOVA1,roni,Bignoniaceae,Pleonotoma,variabilis,Bignoniaceae,Pleonotoma,variabilis,1,1,1,1,1,1,
individual_019,OLSTIZRI3,roni,Bignoniaceae,Stizophyllum,riparium,Bignoniaceae,Stizophyllum,riparium,1,1,1,1,1,1,
individual_020,CHPAR1PY2,roni,Bignoniaceae,Tanaecium,pyramidatum,Bignoniaceae,Tanaecium,Pyramidatum,1,1,1,1,1,1,
individual_021,METYNACR4,roni,Bignoniaceae,Tynanthus,croatianus,Bignoniaceae,Amphilophium,crucigerum,1,0,0,1,0,0,
individual_022,SHCORDBI3,roni,Boraginaceae,Cordia,bicolor,Boraginaceae,Cordia,bicolor,1,1,1,1,1,1,
individual_023,BAR0010,roni,Burseraceae,Protium,stevensonii,Burceraceae,Protium,stevensonii,0,1,1,1,1,1,typo
individual_024,SHCALOLO10,roni,Calophyllaceae,Calophyllum,longifolium,Calophyllaceae,Calophyllum,longifolium,1,1,1,1,1,1,
individual_025,BAR0018,roni,Capparaceae,Morisonia,frondosa,Bignoniaceae,Bignonia,aequinoctialis,0,0,0,0,0,0,
individual_026,OLHIPPVO7,roni,Celastraceae,Hippocratea,volubilis,Celastracea,Hippocratea,volubilis,0,1,1,1,1,1,typo
individual_027,BAR0482,roni,Celastraceae,Hylenaea,praecelsa,Celastracea,Hylenaea,praecelsa,0,1,1,1,1,1,typo
individual_028,BVMAYTSC9,roni,Celastraceae,Maytenus,schippii,Celastracea,Monteverdia,schippii,0,0,1,1,1,1,synonym|typo
individual_029,MEPERIPR9,roni,Celastraceae,Peritassa,pruinosa,Celastracea,Peritassa,pruinosa,0,1,1,1,1,1,typo
individual_030,BAR0305,roni,Celastraceae,Prionostemma,aspera,Celastracea,Prionostemma,asperum,0,1,0,1,1,1,typo|variant
individual_031,SHTONTOV3,roni,Celastraceae,Tontelea,passiflora,Celastracea,Tontelea,ovalifolia,0,1,0,1,1,1,synonym|typo
individual_032,ANHIRTRA4,roni,Chrysobalanaceae,Hirtella,racemosa,Chrysobalanaceae,Hirtella,racemosa,1,1,1,1,1,1,
individual_033,SRLICAHY3,roni,Chrysobalanaceae,Licania,hypoleuca,Chrysobalanaceae,Licania,hypoleuca,1,1,1,1,1,1,
individual_034,SRSYMPGL2,roni,Clusiaceae,Symphonia,globulifera,Clusiaceae,Symphonia,globulifera,1,1,1,1,1,1,
individual_035,SHTOVOST2,roni,Clusiaceae,Tovomita,stylosa,Clusiaceae,Tovomita,stylosa,1,1,1,1,1,1,
individual_036,PPTERMOB5,roni,Combretaceae,Terminalia,oblonga,Combretaceae,Terminalia,oblonga,1,1,1,1,1,1,
individual_037,MECNESRU4,roni,Connaraceae,Cnestidium,rufescens,Connaraceae,Cnestidium,rufescens,1,1,1,1,1,1,
individual_038,ANCONNPA5,roni,Connaraceae,Connarus,panamensis,Connaraceae,Connarus,panamensis,1,1,1,1,1,1,
individual_039,PEA0224,roni,Convolvulaceae,Maripa,panamensis,Convolvulaceae,Maripa,panamensis,1,1,1,1,1,1,
individual_040,OLDICHGE2,roni,Dichapetalaceae,Dichapetalum,gentryi,Dichapetalaceae,Dichapetalum,gentryi,1,1,1,1,1,1,
individual_041,PEA0166,roni,Dilleniaceae,Doliocarpus,olivaceus,Dilleniaceae,Doliocarpus,olivaceus,1,1,1,1,1,1,
individual_042,BVTET1PO6,roni,Dilleniaceae,Tetracera,portobellensis,Dilleniaceae,Tetracera,hydrophila,1,1,0,1,1,0,
individual_043,SRSLOAOB3,roni,Elaeocarpaceae,Sloanea,obtusifolia,Elaeocarpaceae,Sloanea,obtusifolia,1,1,1,1,1,1,
individual_044,PEA0208,roni,Euphorbiaceae,Acalypha,diversifolia,Euphorbiaceae,Acalypha,diversifolia,1,1,1,1,1,1,
individual_045,OLCROTBI2,roni,Euphorbiaceae,Croton,billbergianus,Euphorbiaceae,Croton,billbergianus,1,1,1,1,1,1,
individual_046,ANMAPRGU4,roni,Euphorbiaceae,Maprounea,guianensis,Euphorbiaceae,Maprounea,guianensis,1,1,1,1,1,1,
individual_047,PPPIT1RU4,roni,Fabaceae,Cojoba,rufescens,Fabaceae,Cojoba,rufescens,1,1,1,1,1,1,
individual_048,CHINGASA4,roni,Fabaceae,Inga,sapindoides,Fabaceae,Inga,sapindoides,1,1,1,1,1,1,
individual_049,SRLONCAT1,roni,Fabaceae,Lonchocarpus,atropurpureus,Fabaceae,Lonchocarpus,atropurpureus,1,1,1,1,1,1,
individual_050,MEMACHM29,roni,Fabaceae,Machaerium,milleflorum,Fabaceae,Machaerium,milleflorum,1,1,1,1,1,1,
individual_051,ANENTESC3,roni,Fabaceae,Robrichia,schomburgkii,Fabaceae,Robrichia,schomburgkii,1,1,1,1,1,1,
individual_052,BAR0350,roni,Fabaceae,Senegalia,hayesii,Fabaceae,Senegalia,hayesii,1,1,1,1,1,1,
individual_053,CHSWARS13,roni,Fabaceae,Swartzia,simplex,Fabaceae,Swartzia,simplex,1,1,1,1,1,1,
individual_054,SHTACHVE3,roni,Fabaceae,Tachigali,panamensis,Fabaceae,Tachigali,panamensis,1,1,1,1,1,1,
individual_055,SRLISIJE1,roni,Gentianaceae,Lisianthius,jefensis,Gentianaceae,Lisianthus,jefensis,1,0,1,1,1,1,typo
individual_056,OLLACIAG2,roni,Lacistemataceae,Lacistema,aggregatum,Lacistemataceae,Lacistema,aggregatum,1,1,1,1,1,1,
individual_057,SHBELIPE5,roni,Lauraceae,Beilschmiedia,tovarensis,Lauraceae,Beilschmiedia,tovarensis,1,1,1,1,1,1,
individual_058,SHNECTPU10,roni,Lauraceae,Damburneya,purpurea,Lauraceae,Damburneya,purpurea,1,1,1,1,1,1,
individual_059,ANNECTCU4,roni,Lauraceae,Nectandra,cuspidata,Lauraceae,Nectandra,cuspidata,1,1,1,1,1,1,
individual_060,BAR0090,roni,Lecythidaceae,Gustavia,superba,Lecythidaceae,Gustavia,superba,1,1,1,1,1,1,
individual_061,PPSTRYPA8,roni,Loganiaceae,Strychnos,panamensis,Loganiaceae,Strychnos,panamensis,1,1,1,1,1,1,
individual_062,SRBANICO6,roni,Malpighiaceae,Bronwenia,cornifolia,Malpighiaceae,Banisteriopsis,corniflora,1,0,0,1,1,1,synonym|typo
individual_063,BAR0538,roni,Malpighiaceae,Hiraea,reclinata,Malpighiaceae,Hiraea,reclinata,1,1,1,1,1,1,
individual_064,MEMASCNE4,roni,Malpighiaceae,Mascagnia,ovatifolia,Malpighiaceae,Mascagnia,ovatifolia,1,1,1,1,1,1,
individual_065,SHMICOSI7,roni,Melastomataceae,Miconia,simplex,Melastomataceae,Miconia,simplex,1,1,1,1,1,1,
individual_066,BAR0586,roni,Melastomataceae,Mouriri,myrtilloides,Melastomataceae,Mouriri,myrtilloides,1,1,1,1,1,1,
individual_067,CHGUARGU3,roni,Meliaceae,Guarea,guidonia,Meliaceae,Guarea,guidonia,1,1,1,1,1,1,
individual_068,OLTRI2TU6,roni,Meliaceae,Trichilia,tuberculata,Meliaceae,Trichilia,tuberculata,1,1,1,1,1,1,
individual_069,PPABUTRA10,roni,Menispermaceae,Abuta,racemosa,Menispermaceae,Abuta,racemosa,1,1,1,1,1,1,
individual_070,SHBROSGU5,roni,Moraceae,Brosimum,guianense,Moraceae,Brosimum,guianense,1,1,1,1,1,1,
individual_071,MECASTEL6,roni,Moraceae,Castilla,elastica,Moraceae,Castilla,elastica,1,1,1,1,1,1,
individual_072,BVMAQUCO1,roni,Moraceae,Maquira,guianensis,Moraceae,Maquira,guianensis,1,1,1,1,1,1,
individual_073,SHPEREXA9,roni,Moraceae,Perebea,xanthochyma,Moraceae,Perebea,xanthochyma,1,1,1,1,1,1,
individual_074,OLPOULAR2,roni,Moraceae,Poulsenia,armata,Moraceae,Poulsenia,armata,1,1,1,1,1,1,
individual_075,BVSOROAF8,roni,Moraceae,Sorocea,affinis,Moraceae,Sorocea,affinis,1,1,1,1,1,1,
individual_076,CHTROPRA2,roni,Moraceae,Trophis,racemosa,Moraceae,Trophis,racemosa,1,1,1,1,1,1,
individual_077,SRVIROSE4,roni,Myristicaceae,Virola,sebifera,Myristicaceae,Virola,sebifera,1,1,1,1,1,1,
individual_078,BAR0299,roni,Myrtaceae,Eugenia,nesiotica,Myrtaceae,Eugenia,nesiotica,1,1,1,1,1,1,
individual_079,SRMYRCAGA3,roni,Myrtaceae,Myrcia,splendens,Myrtaceae,Myrcia,splendens,1,1,1,1,1,1,
individual_080,SROURASU5,roni,Ochnaceae,Ouratea,sulcatinervia,Ochnaceae,Ouratea,sulcatinervia,1,1,1,1,1,1,
individual_081,BVHEISAC9,roni,Olacaceae,Heisteria,acuminata,Olacaceae,Heisteria,acuminata,1,1,1,1,1,1,
individual_082,SHPERAAR2,roni,Peraceae,Pera,arborea,Nyctaginaceae,Guapira,standleyana,0,0,0,0,0,0,
individual_083,MEPICRLA10,roni,Picramniaceae,Picramnia,latifolia,Picramniaceae,Picramnia,latifolia,1,1,1,1,1,1,
individual_084,PPPIPEAE3,roni,Piperaceae,Piper,aequale,Piperaceae,Piper,aequale,1,1,1,1,1,1,
individual_085,SRCOCCP16,roni,Polygonaceae,Coccoloba,excelsa,Polygonaceae,Coccloba,excelsa,1,0,1,1,1,1,typo
individual_086,CHARDIPE7,roni,Primulaceae,Ardisia,pellucida,Primulaceae,Ardisia,pellucida,1,1,1,1,1,1,
individual_087,PPSTYLTU5,roni,Primulaceae,Stylogyne,turbacensis,Primulaceae,Stylogyne,turbacensis,1,1,1,1,1,1,
individual_088,ANROUPMO6,roni,Proteaceae,Roupala,montana,Proteaceae,Roupala,montana,1,1,1,1,1,1,
individual_089,SRCASSEL5,roni,Rhizophoraceae,Cassipourea,elliptica,Rhizophoraceae,Cassipourea,elliptica,1,1,1,1,1,1,
individual_090,MEALIBED3,roni,Rubiaceae,Alibertia,edulis,Rubiaceae,Alibertia,edulis,1,1,1,1,1,1,
individual_091,OLALSEBL3,roni,Rubiaceae,Alseis,blackiana,Rubiaceae,Alseis,blackiana,1,1,1,1,1,1,
individual_092,ANAMAICO4,roni,Rubiaceae,Amaioua,glomerulata,Rubiaceae,Amaioua,glomerulata,1,1,1,1,1,1,
individual_093,SRCHIOAL9,roni,Rubiaceae,Chiococca,alba,Rubiaceae,Chiococca,alba,1,1,1,1,1,1,
individual_094,BVCOU2CU2,roni,Rubiaceae,Coussarea,suaveolens,Rubiaceae,Coussarea,curvigemmia,1,1,0,1,1,1,synonym
individual_095,PPFARAOC3,roni,Rubiaceae,Faramea,occidentalis,Rubiaceae,Faramea,occidentalis,1,1,1,1,1,1,
individual_096,SRPSYCC12,roni,Rubiaceae,Palicourea,violacea,Rubiaceae,Psychotria,capitata,1,0,0,1,1,1,synonym
individual_097,MEPOSOLA5,roni,Rubiaceae,Posoqueria,latifolia,Rubiaceae,Posoqueria,latifolia,1,1,1,1,1,1,
individual_098,MEPSYCHO6,roni,Rubiaceae,Psychotria,horizontalis,Rubiaceae,Psychotria,horizontalis,1,1,1,1,1,1,
individual_099,PEA0168,roni,Rubiaceae,Randia,armata,Rubiaceae,Psychotria,ipecacuanha,1,0,0,1,0,0,
individual_100,ANPSYCER1,roni,Rubiaceae,Ronabea,latifolia,Rubiaceae,Psychotria,emetica,1,0,0,1,1,0,synonym
individual_101,ANCASECO2,roni,Salicaceae,Piparea,dentata,Salicaceae,Casearia,commersoniana,1,0,0,1,1,1,synonym
individual_102,CHCUPASY3,roni,Sapindaceae,Cupania,seemannii,Sapindaceae,Cupania,seemannii,1,1,1,1,1,1,
individual_103,OLPAULBR1,roni,Sapindaceae,Paullinia,bracteosa,Sapindaceae,Paullinia,bracteosa,1,1,1,1,1,1,
individual_104,MESERJME1,roni,Sapindaceae,Serjania,mexicana,Sapindaceae,Serjania,mexicana,1,1,1,1,1,1,
individual_105,BVCHR2AR5,roni,Sapotaceae,Chrysophyllum,argenteum,Sapotaceae,Chrysophyllum,argenteum,1,1,1,1,1,1,
individual_106,SHMANIBI9,roni,Sapotaceae,Manilkara,bidentata,Sapotaceae,Manilkara,bidentata,1,1,1,1,1,1,
individual_107,BAR0401,roni,Sapotaceae,Pouteria,reticulata,Sapotaceae,Pouteria,reticulata,1,1,1,1,1,1,
individual_108,ANSIPAGU5,roni,Siparunaceae,Siparuna,guianensis,Siparunaceae,Siparuna,guianensis,1,1,1,1,1,1,
individual_109,SHSMILS14,roni,Smilacaceae,Smilax,spinosa,Smilacaceae,Smilax,spinosa,1,1,1,1,1,1,
individual_110,OLPOURBI4,roni,Urticaceae,Pourouma,bicolor,Urticaceae,Pourouma,bicolor,1,1,1,1,1,1,
individual_111,BVPETRAS9,roni,Verbenaceae,Petrea,volubilis,Verbenaceae,Petrea,volubilis,1,1,1,1,1,1,
individual_112,PEA0040,roni,Violaceae,Pombalia,prunifolia,Violaceae,Pombalia,prunifolia,1,1,1,1,1,1,
individual_113,BAR0450,roni,Violaceae,Rinorea,silvatica,Violaceae,Rinorea,sylvatica,1,1,0,1,1,1,variant
individual_114,SHVOCHFE2,roni,Vochysiaceae,Vochysia,ferruginea,Vochysiaceae,Vochysia,ferruginea,1,1,1,1,1,1,
