anonymous_id,specimen_id,annotator,trait_key,mode,n_views,n_present,per_view_values
individual_004,OLANACEX4,roni,leaf_spacing,clustered,5,3,no visible | no visible | agrupadas | agrupadas | agrupadas
individual_004,OLANACEX4,roni,leaf_complexity_type,simple,5,5,simple | simple | simple | simple | simple
individual_004,OLANACEX4,roni,compound_leaf_type,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_004,OLANACEX4,roni,leaflet_arrangement,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_004,OLANACEX4,roni,leaf_margin,entire,5,5,entero | entero | entero | entero | entero
individual_004,OLANACEX4,roni,leaf_shape,lanceolate,5,5,lanceolada | lanceolada | lanceolada | lanceolada | lanceolada
individual_004,OLANACEX4,roni,leaf_apex,acute,5,5,agudo | agudo | agudo | agudo | agudo
individual_004,OLANACEX4,roni,leaf_base,cuneate,5,5,cuneada | cuneada | cuneada | cuneada | cuneada
individual_004,OLANACEX4,roni,venation,pinnate,5,5,pinnada | pinnada | pinnada | pinnada | pinnada
individual_004,OLANACEX4,roni,leaf_trichomes,absent,5,5,ausentes | ausentes | ausentes | ausentes | ausentes
individual_004,OLANACEX4,roni,petiole_length,short,5,2,no visible | no visible | no visible | corto | corto
individual_004,OLANACEX4,roni,petiole_features,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_004,OLANACEX4,roni,stem_type,woody,5,3,no visible | no visible | lenoso | lenoso | lenoso
individual_004,OLANACEX4,roni,stem_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_004,OLANACEX4,roni,stem_texture,smooth,5,2,no visible | no visible | no visible | lisa | lisa
individual_004,OLANACEX4,roni,stipules,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_004,OLANACEX4,roni,latex,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_004,OLANACEX4,roni,pulvinus,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_004,OLANACEX4,roni,tendrils,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_004,OLANACEX4,roni,damage,absent,5,5,ausente | ausente | ausente | ausente | ausente
individual_005,SHTAPIGU7,roni,leaf_relative_position,alternate,5,2,no visible | no visible | alterna | no visible | alterna
individual_005,SHTAPIGU7,roni,leaf_spacing,clustered,5,4,agrupadas | no visible | agrupadas | agrupadas | agrupadas
individual_005,SHTAPIGU7,roni,leaf_complexity_type,compound,5,5,compusta | compusta | compusta | compusta | compusta
individual_005,SHTAPIGU7,roni,compound_leaf_type,odd-pinnate,5,5,imparipinada | imparipinada | imparipinada | imparipinada | imparipinada
individual_005,SHTAPIGU7,roni,leaflet_arrangement,opposite,5,5,opuesto | opuesto | opuesto | opuesto | opuesto
individual_005,SHTAPIGU7,roni,leaf_margin,entire,5,5,entero | entero | entero | entero | entero
individual_005,SHTAPIGU7,roni,leaf_shape,obovate,5,5,obovada | obovada | obovada | obovada | obovada
individual_005,SHTAPIGU7,roni,leaf_apex,acuminate,5,5,acuminado | acuminado | acuminado | acuminado | acuminado
individual_005,SHTAPIGU7,roni,leaf_base,rounded,5,5,redondeada | redondeada | redondeada | redondeada | redondeada
individual_005,SHTAPIGU7,roni,venation,pinnate,5,5,pinnada | pinnada | pinnada | pinnada | pinnada
individual_005,SHTAPIGU7,roni,leaf_trichomes,absent,5,5,ausentes | ausentes | ausentes | ausentes | ausentes
individual_005,SHTAPIGU7,roni,petiole_length,long,5,5,largo | largo | largo | largo | largo
individual_005,SHTAPIGU7,roni,petiole_features,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_005,SHTAPIGU7,roni,stem_type,woody,5,5,lenoso | lenoso | lenoso | lenoso | lenoso
individual_005,SHTAPIGU7,roni,stem_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_005,SHTAPIGU7,roni,stem_texture,smooth,5,3,lisa | no visible | lisa | no visible | lisa
individual_005,SHTAPIGU7,roni,stipules,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_005,SHTAPIGU7,roni,latex,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_005,SHTAPIGU7,roni,pulvinus,present,5,5,basal | basal | basal | basal | basal
individual_005,SHTAPIGU7,roni,tendrils,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_005,SHTAPIGU7,roni,damage,present,5,5,presente | presente | presente | presente | presente
individual_006,SRANAXAL1,roni,leaf_relative_position,alternate,5,5,alterna | alterna | alterna | alterna | alterna
individual_006,SRANAXAL1,roni,leaf_spacing,distal,5,5,distales | distales | distales | distales | distales
individual_006,SRANAXAL1,roni,leaf_complexity_type,simple,5,5,simple | simple | simple | simple | simple
individual_006,SRANAXAL1,roni,compound_leaf_type,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_006,SRANAXAL1,roni,leaflet_arrangement,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_006,SRANAXAL1,roni,leaf_margin,entire,5,5,entero | entero | entero | entero | entero
individual_006,SRANAXAL1,roni,leaf_shape,lanceolate,5,5,lanceolada | lanceolada | lanceolada | lanceolada | lanceolada
individual_006,SRANAXAL1,roni,leaf_apex,acute,5,5,agudo | agudo | agudo | agudo | agudo
individual_006,SRANAXAL1,roni,leaf_base,cuneate,5,5,cuneada | cuneada | cuneada | cuneada | cuneada
individual_006,SRANAXAL1,roni,venation,pinnate,5,5,pinnada | pinnada | pinnada | pinnada | pinnada
individual_006,SRANAXAL1,roni,leaf_trichomes,absent,5,5,ausentes | ausentes | ausentes | ausentes | ausentes
individual_006,SRANAXAL1,roni,petiole_length,short,5,5,corto | corto | corto | corto | corto
individual_006,SRANAXAL1,roni,petiole_features,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_006,SRANAXAL1,roni,stem_type,woody,5,5,lenoso | lenoso | lenoso | lenoso | lenoso
individual_006,SRANAXAL1,roni,stem_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_006,SRANAXAL1,roni,stem_texture,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_006,SRANAXAL1,roni,stipules,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_006,SRANAXAL1,roni,latex,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_006,SRANAXAL1,roni,pulvinus,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_006,SRANAXAL1,roni,tendrils,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_006,SRANAXAL1,roni,damage,present,5,5,presente | presente | presente | presente | presente
individual_007,CHANNOHA10,roni,leaf_relative_position,alternate,5,5,alterna | alterna | alterna | alterna | alterna
individual_007,CHANNOHA10,roni,leaf_spacing,distal,5,5,distales | distales | distales | distales | distales
individual_007,CHANNOHA10,roni,leaf_complexity_type,simple,5,5,simple | simple | simple | simple | simple
individual_007,CHANNOHA10,roni,compound_leaf_type,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_007,CHANNOHA10,roni,leaflet_arrangement,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_007,CHANNOHA10,roni,leaf_margin,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_007,CHANNOHA10,roni,leaf_shape,obovate,5,5,obovada | obovada | obovada | obovada | obovada
individual_007,CHANNOHA10,roni,leaf_apex,acute,5,5,agudo | agudo | agudo | agudo | agudo
individual_007,CHANNOHA10,roni,leaf_base,cuneate,5,5,cuneada | cuneada | cuneada | cuneada | cuneada
individual_007,CHANNOHA10,roni,venation,pinnate,5,5,pinnada | pinnada | pinnada | pinnada | pinnada
individual_007,CHANNOHA10,roni,leaf_trichomes,absent,5,5,ausentes | ausentes | ausentes | ausentes | ausentes
individual_007,CHANNOHA10,roni,petiole_length,short,5,5,corto | corto | corto | corto | corto
individual_007,CHANNOHA10,roni,petiole_features,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_007,CHANNOHA10,roni,stem_type,woody,5,5,lenoso | lenoso | lenoso | lenoso | lenoso
individual_007,CHANNOHA10,roni,stem_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_007,CHANNOHA10,roni,stem_texture,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_007,CHANNOHA10,roni,stipules,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_007,CHANNOHA10,roni,latex,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_007,CHANNOHA10,roni,pulvinus,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_007,CHANNOHA10,roni,tendrils,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_007,CHANNOHA10,roni,damage,present,5,5,presente | presente | presente | presente | presente
individual_008,SHCREMPA5,roni,leaf_relative_position,alternate,5,5,alterna | alterna | alterna | alterna | alterna
individual_008,SHCREMPA5,roni,leaf_spacing,distal,5,5,distales | distales | distales | distales | distales
individual_008,SHCREMPA5,roni,leaf_complexity_type,simple,5,5,simple | simple | simple | simple | simple
individual_008,SHCREMPA5,roni,compound_leaf_type,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_008,SHCREMPA5,roni,leaflet_arrangement,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_008,SHCREMPA5,roni,leaf_margin,entire,5,5,entero | entero | entero | entero | entero
individual_008,SHCREMPA5,roni,leaf_shape,lanceolate,5,5,lanceolada | lanceolada | lanceolada | lanceolada | lanceolada
individual_008,SHCREMPA5,roni,leaf_apex,acuminate,5,5,acuminado | acuminado | acuminado | acuminado | acuminado
individual_008,SHCREMPA5,roni,leaf_base,cuneate,5,5,cuneada | cuneada | cuneada | cuneada | cuneada
individual_008,SHCREMPA5,roni,venation,pinnate,5,5,pinnada | pinnada | pinnada | pinnada | pinnada
individual_008,SHCREMPA5,roni,leaf_trichomes,absent,5,5,ausentes | ausentes | ausentes | ausentes | ausentes
individual_008,SHCREMPA5,roni,petiole_length,short,5,5,corto | corto | corto | corto | corto
individual_008,SHCREMPA5,roni,petiole_features,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_008,SHCREMPA5,roni,stem_type,woody,5,5,lenoso | lenoso | lenoso | lenoso | lenoso
individual_008,SHCREMPA5,roni,stem_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_008,SHCREMPA5,roni,stem_texture,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_008,SHCREMPA5,roni,stipules,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_008,SHCREMPA5,roni,latex,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_008,SHCREMPA5,roni,pulvinus,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_008,SHCREMPA5,roni,tendrils,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_008,SHCREMPA5,roni,damage,absent,5,5,ausente | ausente | ausente | ausente | ausente
individual_009,PEA0147,roni,leaf_relative_position,alternate,5,5,alterna | alterna | alterna | alterna | alterna
individual_009,PEA0147,roni,leaf_spacing,distal,5,5,distales | distales | distales | distales | distales
individual_009,PEA0147,roni,leaf_complexity_type,simple,5,5,simple | simple | simple | simple | simple
individual_009,PEA0147,roni,compound_leaf_type,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_009,PEA0147,roni,leaflet_arrangement,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_009,PEA0147,roni,leaf_margin,entire,5,5,entero | entero | entero | entero | entero
individual_009,PEA0147,roni,leaf_shape,lanceolate,5,5,lanceolada | lanceolada | lanceolada | lanceolada | lanceolada
individual_009,PEA0147,roni,leaf_apex,acuminate,5,5,acuminado | acuminado | acuminado | acuminado | acuminado
individual_009,PEA0147,roni,leaf_base,cuneate,5,5,cuneada | cuneada | cuneada | cuneada | cuneada
individual_009,PEA0147,roni,venation,pinnate,5,5,pinnada | pinnada | pinnada | pinnada | pinnada
individual_009,PEA0147,roni,leaf_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_009,PEA0147,roni,petiole_length,short,5,5,corto | corto | corto | corto | corto
individual_009,PEA0147,roni,petiole_features,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_009,PEA0147,roni,stem_type,woody,5,5,lenoso | lenoso | lenoso | lenoso | lenoso
individual_009,PEA0147,roni,stem_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_009,PEA0147,roni,stem_texture,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_009,PEA0147,roni,stipules,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_009,PEA0147,roni,latex,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_009,PEA0147,roni,pulvinus,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_009,PEA0147,roni,tendrils,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_009,PEA0147,roni,damage,present,5,5,presente | presente | presente | presente | presente
individual_010,BVGUATAM5,roni,leaf_relative_position,alternate,6,6,alterna | alterna | alterna | alterna | alterna | alterna
individual_010,BVGUATAM5,roni,leaf_spacing,distal,6,6,distales | distales | distales | distales | distales | distales
individual_010,BVGUATAM5,roni,leaf_complexity_type,simple,6,6,simple | simple | simple | simple | simple | simple
individual_010,BVGUATAM5,roni,compound_leaf_type,__missing__,6,0,N/A | N/A | N/A | N/A | N/A | N/A
individual_010,BVGUATAM5,roni,leaflet_arrangement,__missing__,6,0,N/A | N/A | N/A | N/A | N/A | N/A
individual_010,BVGUATAM5,roni,leaf_margin,entire,6,6,entero | entero | entero | entero | entero | entero
individual_010,BVGUATAM5,roni,leaf_shape,lanceolate,6,6,lanceolada | lanceolada | lanceolada | lanceolada | lanceolada | lanceolada
individual_010,BVGUATAM5,roni,leaf_apex,acuminate,6,6,acuminado | acuminado | acuminado | acuminado | acuminado | acuminado
individual_010,BVGUATAM5,roni,leaf_base,cuneate,6,6,cuneada | cuneada | cuneada | cuneada | cuneada | cuneada
individual_010,BVGUATAM5,roni,venation,pinnate,6,6,pinnada | pinnada | pinnada | pinnada | pinnada | pinnada
individual_010,BVGUATAM5,roni,leaf_trichomes,__missing__,6,0,no visible | no visible | no visible | no visible | no visible | no visible
individual_010,BVGUATAM5,roni,petiole_length,short,6,6,corto | corto | corto | corto | corto | corto
individual_010,BVGUATAM5,roni,petiole_features,__missing__,6,0,no visible | no visible | no visible | no visible | no visible | no visible
individual_010,BVGUATAM5,roni,stem_type,woody,6,6,lenoso | lenoso | lenoso | lenoso | lenoso | lenoso
individual_010,BVGUATAM5,roni,stem_trichomes,__missing__,6,0,no visible | no visible | no visible | no visible | no visible | no visible
individual_010,BVGUATAM5,roni,stem_texture,__missing__,6,0,no visible | no visible | no visible | no visible | no visible | no visible
individual_010,BVGUATAM5,roni,stipules,__missing__,6,0,no visible | no visible | no visible | no visible | no visible | no visible
individual_010,BVGUATAM5,roni,latex,__missing__,6,0,no visible | no visible | no visible | no visible | no visible | no visible
individual_010,BVGUATAM5,roni,pulvinus,__missing__,6,0,no visible | no visible | no visible | no visible | no visible | no visible
individual_010,BVGUATAM5,roni,tendrils,__missing__,6,0,no visible | no visible | no visible | no visible | no visible | no visible
individual_010,BVGUATAM5,roni,damage,absent,6,6,ausente | ausente | ausente | ausente | ausente | ausente
individual_011,OLOXANLO5,roni,leaf_relative_position,alternate,5,5,alterna | alterna | alterna | alterna | alterna
individual_011,OLOXANLO5,roni,leaf_spacing,distal,5,5,distales | distales | distales | distales | distales
individual_011,OLOXANLO5,roni,leaf_complexity_type,simple,5,5,simple | simple | simple | simple | simple
individual_011,OLOXANLO5,roni,compound_leaf_type,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_011,OLOXANLO5,roni,leaflet_arrangement,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_011,OLOXANLO5,roni,leaf_margin,entire,5,1,no visible | no visible | no visible | no visible | entero
individual_011,OLOXANLO5,roni,leaf_shape,obovate,5,5,obovada | obovada | obovada | obovada | obovada
individual_011,OLOXANLO5,roni,leaf_apex,acute,5,5,agudo | agudo | agudo | agudo | agudo
individual_011,OLOXANLO5,roni,leaf_base,cuneate,5,5,cuneada | cuneada | cuneada | cuneada | cuneada
individual_011,OLOXANLO5,roni,venation,pinnate,5,1,no visible | no visible | no visible | no visible | pinnada
individual_011,OLOXANLO5,roni,leaf_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_011,OLOXANLO5,roni,petiole_length,short,5,5,corto | corto | corto | corto | corto
individual_011,OLOXANLO5,roni,petiole_features,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_011,OLOXANLO5,roni,stem_type,woody,5,5,lenoso | lenoso | lenoso | lenoso | lenoso
individual_011,OLOXANLO5,roni,stem_trichomes,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_011,OLOXANLO5,roni,stem_texture,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_011,OLOXANLO5,roni,stipules,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_011,OLOXANLO5,roni,latex,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_011,OLOXANLO5,roni,pulvinus,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_011,OLOXANLO5,roni,tendrils,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_011,OLOXANLO5,roni,damage,present,5,5,presente | presente | presente | presente | presente
individual_012,SHASPICR4,roni,leaf_relative_position,alternate,5,5,alterna | alterna | alterna | alterna | alterna
individual_012,SHASPICR4,roni,leaf_spacing,distal,5,5,distales | distales | distales | distales | distales
individual_012,SHASPICR4,roni,leaf_complexity_type,simple,5,5,simple | simple | simple | simple | simple
individual_012,SHASPICR4,roni,compound_leaf_type,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_012,SHASPICR4,roni,leaflet_arrangement,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_012,SHASPICR4,roni,leaf_margin,entire,5,5,entero | entero | entero | entero | entero
individual_012,SHASPICR4,roni,leaf_shape,lanceolate,5,5,lanceolada | lanceolada | lanceolada | lanceolada | lanceolada
individual_012,SHASPICR4,roni,leaf_apex,acute,5,5,agudo | agudo | agudo | agudo | agudo
individual_012,SHASPICR4,roni,leaf_base,cuneate,5,5,cuneada | cuneada | cuneada | cuneada | cuneada
individual_012,SHASPICR4,roni,venation,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_012,SHASPICR4,roni,leaf_trichomes,absent,5,1,no visible | no visible | no visible | no visible | ausentes
individual_012,SHASPICR4,roni,petiole_length,short,5,5,corto | corto | corto | corto | corto
individual_012,SHASPICR4,roni,petiole_features,terete,5,1,no visible | no visible | no visible | no visible | terete
individual_012,SHASPICR4,roni,stem_type,woody,5,5,lenoso | lenoso | lenoso | lenoso | lenoso
individual_012,SHASPICR4,roni,stem_trichomes,absent,5,1,no visible | no visible | no visible | no visible | ausentes
individual_012,SHASPICR4,roni,stem_texture,smooth,5,1,no visible | no visible | no visible | no visible | lisa
individual_012,SHASPICR4,roni,stipules,absent,5,1,no visible | no visible | no visible | no visible | ausentes
individual_012,SHASPICR4,roni,latex,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_012,SHASPICR4,roni,pulvinus,absent,5,1,no visible | no visible | no visible | no visible | ausente
individual_012,SHASPICR4,roni,tendrils,absent,5,5,ausente | ausente | ausente | ausente | ausente
individual_012,SHASPICR4,roni,damage,absent,5,5,ausente | ausente | ausente | ausente | ausente
individual_013,CHFORSVI6,roni,leaf_relative_position,opposite,5,5,opuesta | opuesta | opuesta | opuesta | opuesta
individual_013,CHFORSVI6,roni,leaf_spacing,distal,5,5,distales | distales | distales | distales | distales
individual_013,CHFORSVI6,roni,leaf_complexity_type,simple,5,5,simple | simple | simple | simple | simple
individual_013,CHFORSVI6,roni,compound_leaf_type,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_013,CHFORSVI6,roni,leaflet_arrangement,__missing__,5,0,N/A | N/A | N/A | N/A | N/A
individual_013,CHFORSVI6,roni,leaf_margin,entire,5,5,entero | entero | entero | entero | entero
individual_013,CHFORSVI6,roni,leaf_shape,lanceolate,5,5,lanceolada | lanceolada | lanceolada | lanceolada | lanceolada
individual_013,CHFORSVI6,roni,leaf_apex,acute,5,5,agudo | agudo | agudo | agudo | agudo
individual_013,CHFORSVI6,roni,leaf_base,cordate,5,5,cordada | cordada | cordada | cordada | cordada
individual_013,CHFORSVI6,roni,venation,pinnate,5,5,pinnada | pinnada | pinnada | pinnada | pinnada
individual_013,CHFORSVI6,roni,leaf_trichomes,absent,5,5,ausentes | ausentes | ausentes | ausentes | ausentes
individual_013,CHFORSVI6,roni,petiole_length,short,5,5,corto | corto | corto | corto | corto
individual_013,CHFORSVI6,roni,petiole_features,__missing__,5,0,no visible | no visible | no visible | no visible | no visible
individual_013,CHFORSVI6,roni,stem_type,woody,5,5,lenoso | lenoso | lenoso | lenoso | lenoso
individual_013,CHFORSVI6,roni,stem_trichomes,absent,5,5,ausentes | ausentes | ausentes | ausentes | ausentes
