anonymous_id,family,genus,species,individual_code,image_count,original_individual_folder
individual_063,Malpighiaceae,Hiraea,reclinata,BAR0538,5,2026_data/sorted_12K/training/by_family/Malpighiaceae/by_genus/Hiraea/by_species/reclinata/BAR0538
individual_064,Malpighiaceae,Mascagnia,ovatifolia,MEMASCNE4,5,2026_data/sorted_12K/training/by_family/Malpighiaceae/by_genus/Mascagnia/by_species/ovatifolia/MEMASCNE4
individual_065,Melastomataceae,Miconia,simplex,SHMICOSI7,5,2026_data/sorted_12K/training/by_family/Melastomataceae/by_genus/Miconia/by_species/simplex/SHMICOSI7
individual_066,Melastomataceae,Mouriri,myrtilloides,BAR0586,5,2026_data/sorted_12K/training/by_family/Melastomataceae/by_genus/Mouriri/by_species/myrtilloides/BAR0586
individual_067,Meliaceae,Guarea,guidonia,CHGUARGU3,5,2026_data/sorted_12K/training/by_family/Meliaceae/by_genus/Guarea/by_species/guidonia/CHGUARGU3
individual_068,Meliaceae,Trichilia,tuberculata,OLTRI2TU6,5,2026_data/sorted_12K/training/by_family/Meliaceae/by_genus/Trichilia/by_species/tuberculata/OLTRI2TU6
individual_069,Menispermaceae,Abuta,racemosa,PPABUTRA10,5,2026_data/sorted_12K/training/by_family/Menispermaceae/by_genus/Abuta/by_species/racemosa/PPABUTRA10
individual_070,Moraceae,Brosimum,guianense,SHBROSGU5,5,2026_data/sorted_12K/training/by_family/Moraceae/by_genus/Brosimum/by_species/guianense/SHBROSGU5
individual_071,Moraceae,Castilla,elastica,MECASTEL6,5,2026_data/sorted_12K/training/by_family/Moraceae/by_genus/Castilla/by_species/elastica/MECASTEL6
individual_072,Moraceae,Maquira,guianensis,BVMAQUCO1,5,2026_data/sorted_12K/training/by_family/Moraceae/by_genus/Maquira/by_species/guianensis/BVMAQUCO1
individual_073,Moraceae,Perebea,xanthochyma,SHPEREXA9,5,2026_data/sorted_12K/training/by_family/Moraceae/by_genus/Perebea/by_species/xanthochyma/SHPEREXA9
individual_074,Moraceae,Poulsenia,armata,OLPOULAR2,5,2026_data/sorted_12K/training/by_family/Moraceae/by_genus/Poulsenia/by_species/armata/OLPOULAR2
individual_075,Moraceae,Sorocea,affinis,BVSOROAF8,5,2026_data/sorted_12K/training/by_family/Moraceae/by_genus/Sorocea/by_species/affinis/BVSOROAF8
individual_076,Moraceae,Trophis,racemosa,CHTROPRA2,5,2026_data/sorted_12K/training/by_family/Moraceae/by_genus/Trophis/by_species/racemosa/CHTROPRA2
individual_077,Myristicaceae,Virola,sebifera,SRVIROSE4,5,2026_data/sorted_12K/training/by_family/Myristicaceae/by_genus/Virola/by_species/sebifera/SRVIROSE4
individual_078,Myrtaceae,Eugenia,nesiotica,BAR0299,5,2026_data/sorted_12K/training/by_family/Myrtaceae/by_genus/Eugenia/by_species/nesiotica/BAR0299
individual_079,Myrtaceae,Myrcia,splendens,SRMYRCAGA3,5,2026_data/sorted_12K/training/by_family/Myrtaceae/by_genus/Myrcia/by_species/splendens/SRMYRCAGA3
individual_080,Ochnaceae,Ouratea,sulcatinervia,SROURASU5,5,2026_data/sorted_12K/training/by_family/Ochnaceae/by_genus/Ouratea/by_species/sulcatinervia/SROURASU5
individual_081,Olacaceae,Heisteria,acuminata,BVHEISAC9,5,2026_data/sorted_12K/training/by_family/Olacaceae/by_genus/Heisteria/by_species/acuminata/BVHEISAC9
individual_082,Peraceae,Pera,arborea,SHPERAAR2,5,2026_data/sorted_12K/training/by_family/Peraceae/by_genus/Pera/by_species/arborea/SHPERAAR2
individual_083,Picramniaceae,Picramnia,latifolia,MEPICRLA10,5,2026_data/sorted_12K/training/by_family/Picramniaceae/by_genus/Picramnia/by_species/latifolia/MEPICRLA10
individual_084,Piperaceae,Piper,aequale,PPPIPEAE3,5,2026_data/sorted_12K/training/by_family/Piperaceae/by_genus/Piper/by_species/aequale/PPPIPEAE3
individual_085,Polygonaceae,Coccoloba,excelsa,SRCOCCP16,6,2026_data/sorted_12K/training/by_family/Polygonaceae/by_genus/Coccoloba/by_species/excelsa/SRCOCCP16
individual_086,Primulaceae,Ardisia,pellucida,CHARDIPE7,5,2026_data/sorted_12K/training/by_family/Primulaceae/by_genus/Ardisia/by_species/pellucida/CHARDIPE7
individual_087,Primulaceae,Stylogyne,turbacensis,PPSTYLTU5,5,2026_data/sorted_12K/training/by_family/Primulaceae/by_genus/Stylogyne/by_species/turbacensis/PPSTYLTU5
individual_088,Proteaceae,Roupala,montana,ANROUPMO6,5,2026_data/sorted_12K/training/by_family/Proteaceae/by_genus/Roupala/by_species/montana/ANROUPMO6
individual_089,Rhizophoraceae,Cassipourea,elliptica,SRCASSEL5,5,2026_data/sorted_12K/training/by_family/Rhizophoraceae/by_genus/Cassipourea/by_species/elliptica/SRCASSEL5
individual_090,Rubiaceae,Alibertia,edulis,MEALIBED3,5,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Alibertia/by_species/edulis/MEALIBED3
individual_091,Rubiaceae,Alseis,blackiana,OLALSEBL3,5,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Alseis/by_species/blackiana/OLALSEBL3
individual_092,Rubiaceae,Amaioua,glomerulata,ANAMAICO4,5,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Amaioua/by_species/glomerulata/ANAMAICO4
individual_093,Rubiaceae,Chiococca,alba,SRCHIOAL9,5,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Chiococca/by_species/alba/SRCHIOAL9
individual_094,Rubiaceae,Coussarea,suaveolens,BVCOU2CU2,5,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Coussarea/by_species/suaveolens/BVCOU2CU2
individual_095,Rubiaceae,Faramea,occidentalis,PPFARAOC3,5,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Faramea/by_species/occidentalis/PPFARAOC3
individual_096,Rubiaceae,Palicourea,violacea,SRPSYCC12,5,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Palicourea/by_species/violacea/SRPSYCC12
individual_097,Rubiaceae,Posoqueria,latifolia,MEPOSOLA5,5,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Posoqueria/by_species/latifolia/MEPOSOLA5
individual_098,Rubiaceae,Psychotria,horizontalis,MEPSYCHO6,5,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Psychotria/by_species/horizontalis/MEPSYCHO6
individual_099,Rubiaceae,Randia,armata,PEA0168,4,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Randia/by_species/armata/PEA0168
individual_100,Rubiaceae,Ronabea,latifolia,ANPSYCER1,4,2026_data/sorted_12K/training/by_family/Rubiaceae/by_genus/Ronabea/by_species/latifolia/ANPSYCER1
individual_101,Salicaceae,Piparea,dentata,ANCASECO2,5,2026_data/sorted_12K/training/by_family/Salicaceae/by_genus/Piparea/by_species/dentata/ANCASECO2
individual_102,Sapindaceae,Cupania,seemannii,CHCUPASY3,5,2026_data/sorted_12K/training/by_family/Sapindaceae/by_genus/Cupania/by_species/seemannii/CHCUPASY3
individual_103,Sapindaceae,Paullinia,bracteosa,OLPAULBR1,5,2026_data/sorted_12K/training/by_family/Sapindaceae/by_genus/Paullinia/by_species/bracteosa/OLPAULBR1
individual_104,Sapindaceae,Serjania,mexicana,MESERJME1,5,2026_data/sorted_12K/training/by_family/Sapindaceae/by_genus/Serjania/by_species/mexicana/MESERJME1
individual_105,Sapotaceae,Chrysophyllum,argenteum,BVCHR2AR5,5,2026_data/sorted_12K/training/by_family/Sapotaceae/by_genus/Chrysophyllum/by_species/argenteum/BVCHR2AR5
individual_106,Sapotaceae,Manilkara,bidentata,SHMANIBI9,5,2026_data/sorted_12K/training/by_family/Sapotaceae/by_genus/Manilkara/by_species/bidentata/SHMANIBI9
individual_107,Sapotaceae,Pouteria,reticulata,BAR0401,5,2026_data/sorted_12K/training/by_family/Sapotaceae/by_genus/Pouteria/by_species/reticulata/BAR0401
individual_108,Siparunaceae,Siparuna,guianensis,ANSIPAGU5,5,2026_data/sorted_12K/training/by_family/Siparunaceae/by_genus/Siparuna/by_species/guianensis/ANSIPAGU5
individual_109,Smilacaceae,Smilax,spinosa,SHSMILS14,5,2026_data/sorted_12K/training/by_family/Smilacaceae/by_genus/Smilax/by_species/spinosa/SHSMILS14
individual_110,Urticaceae,Pourouma,bicolor,OLPOURBI4,5,2026_data/sorted_12K/training/by_family/Urticaceae/by_genus/Pourouma/by_species/bicolor/OLPOURBI4
individual_111,Verbenaceae,Petrea,volubilis,BVPETRAS9,5,2026_data/sorted_12K/training/by_family/Verbenaceae/by_genus/Petrea/by_species/volubilis/BVPETRAS9
individual_112,Violaceae,Pombalia,prunifolia,PEA0040,5,2026_data/sorted_12K/training/by_family/Violaceae/by_genus/Pombalia/by_species/prunifolia/PEA0040
individual_113,Violaceae,Rinorea,silvatica,BAR0450,5,2026_data/sorted_12K/training/by_family/Violaceae/by_genus/Rinorea/by_species/silvatica/BAR0450
individual_114,Vochysiaceae,Vochysia,ferruginea,SHVOCHFE2,5,2026_data/sorted_12K/training/by_family/Vochysiaceae/by_genus/Vochysia/by_species/ferruginea/SHVOCHFE2
